Game ID,Team,Opponent,Spread,PGDiffFGm,PGDiffFGA,PGDiffFGPerc,PGDiff3Pm,PGDiff3PA,PGDiff3Perc,PGDiff2Pm,PGDiff2PA,PGDiff2Perc,PGDiffFTm,PGDiffFTA,PGDiffFTPerc,PGDiffORB,PGDiffDRB,PGDiffTRB,PGDiffAST,PGDiffSTL,PGDiffBLK,PGDiffTOV,PGDiffPF,PGDiffPTS,TotalDiffFG,TotalDiffFGA,TotalDiffFG%,TotalDiff3P,TotalDiff3PA,TotalDiff3P%,TotalDiff2P,TotalDiff2PA,TotalDiff2P%,TotalDiffFT,TotalDiffFTA,TotalDiffFT%,TotalDiffORB,TotalDiffDRB,TotalDiffTRB,TotalDiffAST,TotalDiffSTL,TotalDiffBLK,TotalDiffTOV,TotalDiffPF,TotalDiffPTS,DiffAge,DiffW,DiffL,DiffPW,DiffPL,DiffMOV,DiffSOS,DiffSRS,DiffORtg,DiffDRtg,DiffNRtg,DiffPace,DiffFTr,Diff3PAr,DiffTS,DiffeFG,DiffTOV,DiffORB,DiffFTFGA,shot pctDiffDist.,shot pctDiff2P,shot pctDiff3P
1,Boston Celtics,New York Knicks,-6,-2.5,1.6,-0.036,4.9,14.3,-0.009,-7.4,-12.7,-0.004,-1.3,-1.2,-0.014,-0.1,2.2,2.1,-1.8,-0.7,1.9,-1.3,-0.7,-1.2,-91,174,-0.036,286,821,-0.009,-377,-647,-0.004,-52,-44,-0.014,6,155,161,-71,-29,109,-59,-26,52,1.4,3,-2,6,-5,3.13,0.5,3.63,-1.4,-4.5,3.1,-0.2,-0.017,0.152,-0.012,-0.01,-1.2,-2.2,-0.017,3.5,-0.004,-0.009
2,Los Angeles Lakers,Minnesota Timberwolves,1,1.4,-1,0.023,-2.6,-5,-0.02,4,4,0.039,1.5,1.8,0.002,-1.8,-0.3,-2.2,1.6,-0.3,-0.3,-1.6,-1.2,1.9,-43,-312,0.023,-179,-377,-0.02,136,65,0.039,26,30,0.002,-129,-119,-248,3,-40,-30,-127,-117,-239,0.6,2,-5,-6,3,-2.41,-0.75,-3.16,1.3,3.8,-2.5,0.6,0.024,-0.053,0.011,0.009,-1.2,-3.5,0.02,-0.3,0.039,-0.02
3,Detroit Pistons,Indiana Pacers,5.5,-1.1,1,-0.018,0.4,1.9,-0.008,-1.5,-0.7,-0.02,-0.6,-0.8,0.001,2.4,1.5,3.9,-2.9,-0.7,-0.1,2,1.2,-2.4,25,237,-0.018,48,171,-0.008,-23,66,-0.02,-1,-2,0.001,148,148,296,-102,-23,4,138,104,97,-0.1,-1,3,1,1,0.05,0.36,0.41,-2.3,-2.2,-0.1,-0.3,-0.012,0.017,-0.017,-0.017,1.5,5,-0.01,-0.3,-0.02,-0.008
4,Atlanta Hawks,Brooklyn Nets,-6.5,4.9,6.6,0.022,-0.4,-0.9,0,5.3,7.5,0.026,2,3.3,-0.023,1.3,2.6,4,4.7,2.5,0.9,0.6,-1.6,11.7,311,450,0.022,-4,-11,0,315,461,0.026,131,203,-0.023,81,177,258,286,143,58,48,-68,749,-0.1,6,-5,7,-6,3.56,-0.29,3.27,3.4,-0.5,3.9,7.3,0.018,-0.043,0.014,0.015,-0.5,1.4,0.009,-1,0.026,0
5,Miami Heat,Orlando Magic,-2,1.7,1.2,0.014,3,2.7,0.056,-1.2,-1.6,-0.008,-0.8,-1.7,0.027,-1.7,4.1,2.5,3.2,-1.2,-2.3,-1,-4.6,5.8,-60,-283,0.014,113,-2,0.056,-173,-281,-0.008,-108,-180,0.027,-132,93,-39,72,-98,-146,-111,-320,-115,2,-2,-2,0,-4,0.66,0.14,0.8,4.3,3.6,0.7,0.5,-0.023,0.026,0.028,0.03,-0.9,-3.8,-0.012,0.1,-0.008,0.056
6,Philadelphia 76ers,Milwaukee Bucks,4,-2.6,-1.2,-0.024,-1.7,-0.9,-0.038,-0.9,-0.2,-0.016,1.8,1.1,0.047,1.3,-6.3,-5,-2.3,2.2,-0.8,-0.1,1.2,-5.2,-101,22,-0.024,-79,-15,-0.038,-22,37,-0.016,116,78,0.047,78,-306,-228,-99,124,-38,6,85,-165,-1.4,-9,10,-8,9,-5.21,0.96,-4.25,-2.4,2.9,-5.3,-3,0.016,-0.005,-0.022,-0.033,0,2.8,0.024,-0.6,-0.016,-0.038
7,Toronto Raptors,Cleveland Cavaliers,6.5,-3.3,-0.9,-0.032,-4.8,-8.4,-0.044,1.6,7.6,-0.051,-0.8,0,-0.04,1.1,-2.1,-1,-0.4,-0.6,0.1,2.4,3.1,-12.1,-134,41,-0.032,-248,-425,-0.044,114,466,-0.051,-28,24,-0.04,71,-83,-12,4,-20,14,148,189,-544,-2,-27,28,-24,25,-16.71,2.67,-14.04,-11.9,4.8,-16.7,-0.7,0.003,-0.09,-0.056,-0.057,2,1.5,-0.007,-1.9,-0.051,-0.044
8,Houston Rockets,Charlotte Hornets,-8,3.2,3.8,0.017,-1.5,-3.9,-0.005,4.8,7.7,0.016,1.8,3.2,-0.027,2,0.2,2.2,-1.3,1,0.4,-1.6,0.3,6.7,251,384,0.017,-55,-131,-0.005,306,515,0.016,130,211,-0.027,133,81,214,-20,71,33,-52,54,577,-0.5,21,-19,17,-15,9.82,1.32,11.14,5.6,-4.4,10,1.1,0.025,-0.059,0.006,0.005,-1.7,4,0.012,-1.1,0.016,-0.005
9,New Orleans Pelicans,Chicago Bulls,-5,-2.1,-1.4,-0.017,-3.6,-7.9,-0.02,1.4,6.6,-0.038,1.9,3.4,-0.032,2.2,-4.7,-2.5,-3.7,1.7,0.7,-0.8,0.3,-6,-158,-165,-0.017,-212,-470,-0.02,54,305,-0.038,90,161,-0.032,109,-288,-179,-226,87,35,-54,2,-438,0.5,-10,9,-7,6,-4.46,1.2,-3.26,-2,2.5,-4.5,-3.7,0.04,-0.08,-0.03,-0.035,-0.6,4.3,0.024,-0.9,-0.038,-0.02
10,Utah Jazz,Memphis Grizzlies,2.5,-5.2,-5.7,-0.028,-0.3,1.6,-0.021,-4.9,-7.3,-0.017,-0.4,-1.3,0.022,-1,-1.3,-2.3,-3.5,-2.4,-1,0.8,-1.9,-11.1,-318,-393,-0.028,-28,46,-0.021,-290,-439,-0.017,-45,-95,0.022,-68,-105,-173,-215,-137,-59,25,-121,-709,-0.4,-23,22,-22,21,-14.63,1.25,-13.39,-5.8,8.6,-14.4,-5,0.001,0.044,-0.019,-0.024,1.3,-1.8,0.007,1.1,-0.017,-0.021
11,Los Angeles Clippers,Phoenix Suns,5,0.1,0.6,-0.001,-1.9,-3.8,-0.014,2.1,4.4,-0.006,-0.9,-0.9,-0.006,1.3,0.5,1.8,-2.7,2.1,-0.6,2,0.2,-2.4,-31,-54,-0.001,-116,-240,-0.014,85,186,-0.006,-63,-70,-0.006,59,-7,52,-171,105,-40,93,-10,-241,-0.1,4,-5,7,-8,4.7,0.54,5.25,-3.2,-8,4.8,1,-0.013,-0.048,-0.014,-0.013,1.5,2.9,-0.011,-1.8,-0.006,-0.014
12,Portland Trail Blazers,Golden State Warriors,7.5,-0.8,-3,0.006,-3,-6.8,-0.016,2.2,3.8,0.004,1.8,1,0.048,-0.3,-2.2,-2.5,-5.4,-0.8,0.5,2,-0.2,-2.9,-4,-71,0.006,-150,-329,-0.016,146,258,0.004,113,76,0.048,-4,-86,-90,-266,-40,35,123,5,-45,-4.5,-4,5,-9,10,-5.81,-0.11,-5.92,-2,3.8,-5.8,-0.7,0.019,-0.061,-0.001,-0.008,1.8,0.8,0.026,-1.5,0.004,-0.016
13,Washington Wizards,Boston Celtics,14,-1.8,0.1,-0.021,-4.7,-9.5,-0.033,2.9,9.6,-0.048,-0.2,0.1,-0.015,0,-1,-1,-0.7,0.2,-0.7,4.2,4,-8.6,-141,-85,-0.021,-275,-561,-0.033,134,476,-0.048,-28,-15,-0.015,-10,-91,-101,-62,3,-44,214,199,-585,-5.1,-30,29,-33,32,-22.5,2,-20.5,-13.1,9.3,-22.4,4.4,0.001,-0.106,-0.044,-0.047,3.2,-1,-0.003,-1.9,-0.048,-0.033
14,Dallas Mavericks,San Antonio Spurs,-8.5,1.1,-1,0.018,-0.7,-4.3,0.022,1.8,3.2,0,1.3,2.1,-0.016,0,-0.5,-0.7,-3.7,0,-0.4,0,2.4,2.7,182,209,0.018,2,-119,0.022,180,328,0,122,181,-0.016,31,70,101,-116,27,-6,42,181,488,1.8,6,-3,7,-4,3.64,0.67,4.31,3,-0.6,3.6,-0.2,0.027,-0.044,0.015,0.015,0,0.8,0.017,-0.8,0,0.022
15,Sacramento Kings,Minnesota Timberwolves,1,3.3,4.5,0.014,-2.6,-3.5,-0.036,5.9,8,0.031,1,0.8,0.015,-0.1,0.7,0.7,1.5,-0.1,-0.3,-1.9,1.4,5.1,140,157,0.014,-155,-229,-0.036,295,386,0.031,36,23,0.015,-15,5,-10,52,-13,-19,-120,56,161,0.3,-2,1,-5,4,-2.29,-0.78,-3.07,1.6,4,-2.4,2.2,-0.003,-0.061,-0.003,-0.005,-2.1,-1,0.001,0.2,0.031,-0.036
16,Denver Nuggets,Oklahoma City Thunder,-2,1.8,-2.7,0.034,-2.2,-7.7,0.019,4,5.1,0.019,2,3.7,-0.044,0.3,1.1,1.3,5.1,-2.7,-0.8,2.1,-2.9,3.3,186,40,0.034,-92,-345,0.019,278,385,0.019,142,242,-0.044,35,125,160,334,-126,-30,142,-117,422,2.2,-8,10,-9,11,-7.78,-0.11,-7.89,1.9,9.8,-7.9,0.4,0.047,-0.074,0.023,0.024,1.8,2.3,0.028,-1.6,0.019,0.019
17,Orlando Magic,Brooklyn Nets,2,0.1,0.6,-0.002,-2.3,-2.1,-0.042,2.4,2.8,0.02,1,2.2,-0.031,0.7,-0.1,0.6,-1.6,1.5,1.8,-0.7,0.1,-1,83,205,-0.002,-102,-44,-0.042,185,249,0.02,89,161,-0.031,61,55,116,-38,99,114,-10,43,153,-0.2,7,-5,8,-6,4.53,-0.64,3.89,-1.1,-5.8,4.7,0.2,0.023,-0.029,-0.014,-0.015,-0.7,1.2,0.011,0.1,0.02,-0.042
18,Toronto Raptors,Philadelphia 76ers,6.5,2.5,3.5,0.01,-1.3,-3.6,0,3.8,7,0.001,-2.3,-1.9,-0.038,1.8,3,4.8,5.7,-1.6,0.5,2,1.9,1.5,177,274,0.01,-58,-161,0,235,435,0.001,-107,-79,-0.038,107,196,303,336,-77,33,126,123,189,-3.4,-3,4,-3,4,-2.14,1.51,-0.63,-1.5,0.6,-2.1,2.8,-0.031,-0.057,-0.008,0.001,1.3,3.6,-0.033,-1.7,0.001,0
19,Atlanta Hawks,Charlotte Hornets,-6.5,4.1,2.4,0.033,-0.6,-2,0.003,4.7,4.4,0.045,2.8,3.8,-0.007,-0.8,0.1,-0.7,5.5,2.2,0.5,0.7,-0.7,10.4,341,401,0.033,11,10,0.003,330,391,0.045,202,272,-0.007,-8,108,100,377,145,46,88,20,895,-0.3,13,-10,7,-4,3.1,0.3,3.4,3.7,0.3,3.4,6,0.036,-0.033,0.03,0.028,0.1,-1.8,0.026,-1.4,0.045,0.003
20,Cleveland Cavaliers,Detroit Pistons,-6.5,2.8,0.6,0.028,3.2,5.1,0.033,-0.5,-4.7,0.042,0.3,0.3,0.004,-1,0.5,-0.5,3.1,0.6,-0.5,-2.3,-1.8,9.1,108,-62,0.028,161,243,0.033,-53,-305,0.042,2,-4,0.004,-63,-7,-70,146,22,-35,-141,-118,379,1.2,15,-16,14,-15,10.29,-0.65,9.64,9.1,-1.2,10.3,0.7,0.002,0.054,0.042,0.045,-1.9,-1.7,0.003,0.8,0.042,0.033
21,New York Knicks,Indiana Pacers,-4.5,0.8,0.1,0.008,0.2,-0.2,0.008,0.6,0.4,0.007,0.7,0.1,0.024,1.8,-0.2,1.6,-1.3,-0.5,-1.3,-0.3,-2,2.4,86,99,0.008,23,23,0.008,63,76,0.007,51,29,0.024,107,20,127,-39,-22,-67,-1,-87,246,1.8,6,-5,9,-8,5.52,-0.32,5.21,5.4,-0.2,5.6,-2.5,0.001,-0.003,0.01,0.009,-0.2,5.1,0.006,-0.9,0.007,0.008
22,Houston Rockets,Memphis Grizzlies,-8,-3.7,-0.1,-0.039,-2,-2,-0.035,-1.6,1.9,-0.046,-1,-0.8,-0.016,1.4,-1.3,0.1,-6.5,-0.2,-0.9,-2.9,-1.4,-10.3,-196,-2,-0.039,-109,-107,-0.035,-87,105,-0.046,-54,-45,-0.016,75,-70,5,-350,-12,-49,-156,-77,-555,0,-2,2,-4,4,-3.2,1.54,-1.66,-4.2,-1.3,-2.9,-5.8,-0.009,-0.021,-0.047,-0.05,-2.1,1.6,-0.011,0.2,-0.046,-0.035
23,Milwaukee Bucks,Chicago Bulls,-4,-0.7,-4.4,0.016,-1.4,-5.7,0.019,0.7,1.3,0.001,1,2.8,-0.059,-1.2,0,-1.2,-3.5,-0.3,0.1,-1.5,0.6,-1.7,-119,-414,0.016,-106,-386,0.019,-13,-28,0.001,21,112,-0.059,-83,-69,-152,-242,-27,-2,-106,-3,-323,4.1,7,-9,9,-11,6.09,-0.7,5.39,2.2,-3.8,6,-3.5,0.042,-0.041,0.01,0.012,-0.8,-1.7,0.019,0.3,0.001,0.019
24,Utah Jazz,Golden State Warriors,2.5,-0.7,-4.1,0.013,-1.5,-3.5,-0.006,0.8,-0.6,0.024,3.1,2.2,0.062,-0.5,-0.1,-0.6,-3.1,-2,0,3.4,-0.4,0.1,-76,-309,0.013,-96,-228,-0.006,20,-81,0.024,145,94,0.062,-42,-36,-78,-192,-117,-4,167,-40,-103,-4.1,-14,13,-11,10,-7.32,-0.22,-7.55,-0.3,7,-7.3,0.1,0.035,-0.018,0.018,0.009,2.9,0.9,0.042,-0.6,0.024,-0.006
25,Los Angeles Lakers,Phoenix Suns,1,0.6,-0.4,0.01,-1.8,-3.4,-0.015,2.4,3,0.017,0.5,1,-0.014,-0.1,-0.4,-0.6,-0.6,0.1,-0.4,-0.4,-1.4,0.1,-46,-191,0.01,-121,-249,-0.015,75,58,0.017,-10,8,-0.014,-26,-88,-114,-90,-10,-33,-46,-113,-223,-1.3,6,-8,3,-5,2.57,0.02,2.59,0,-2.6,2.6,0.5,0.012,-0.038,0,0,-0.3,0.4,0.007,-1.3,0.017,-0.015
26,Portland Trail Blazers,New Orleans Pelicans,7.5,-0.4,-1.5,0.004,0.1,0.7,-0.004,-0.4,-2.3,0.012,-0.2,-0.6,0.01,0.6,0.3,0.9,-1.8,-1.3,0,1.7,1.2,-0.8,20,8,0.004,19,75,-0.004,1,-67,0.012,5,-8,0.01,43,48,91,-74,-66,7,104,80,64,-2,11,-10,5,-4,3.53,-0.33,3.2,0.5,-2.9,3.4,-1,-0.002,0.014,0.005,0.005,1.5,2.3,0.001,-0.1,0.012,-0.004
27,Denver Nuggets,Los Angeles Clippers,-2,5,3.4,0.037,-0.4,-2.6,0.018,5.3,6,0.035,1.2,2,-0.021,0.6,0.9,1.5,6.6,-1.2,0.3,-1.9,-0.7,10.7,355,364,0.037,6,-71,0.018,349,435,0.035,96,154,-0.021,52,119,171,411,-48,27,-71,-3,812,-2.3,6,-4,5,-3,2.75,-0.63,2.11,8.1,5.5,2.6,1.8,0.013,-0.043,0.029,0.032,-1.9,2,0.005,-0.9,0.035,0.018
28,Washington Wizards,Cleveland Cavaliers,14,-5.2,0.2,-0.059,-3.2,-2.4,-0.059,-1.9,2.7,-0.067,-0.5,-0.5,-0.01,0.3,-1,-0.7,-4,-0.9,0.5,2.9,1.9,-14.1,-279,13,-0.059,-175,-131,-0.059,-104,144,-0.067,-30,-24,-0.01,18,-57,-39,-216,-47,29,157,100,-763,-3,-35,35,-33,33,-24.19,2.47,-21.71,-15.9,8,-23.9,1.3,-0.005,-0.028,-0.071,-0.076,2.2,-1.4,-0.007,0.2,-0.067,-0.059
