GameID,Home,Home_ID,Home_PTS,Away,Away_ID,Away_PTS,Margin,Home_FG,Home_FGA,Home_FGP,Home_3P,Home_3PA,Home_3PP,Home_2P,Home_2PA,Home_2PP,Home_FT,Home_FTA,Home_FTP,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Home_PTS,Away_FG,Away_FGA,Away_FGP,Away_3P,Away_3PA,Away_3PP,Away_2P,Away_2PA,Away_2PP,Away_FT,Away_FTA,Away_FTP,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Away_PTS
1,Denver Nuggets,4,119,Los Angeles Lakers,12,107,12,45.3,89.4,0.507,12.1,31.7,0.381,33.2,57.7,0.576,17.5,22.7,0.77,11.2,34.1,45.3,30.9,8.1,4.9,14.2,17.6,120.1,41.8,87.2,0.479,13.3,36.7,0.361,28.5,50.5,0.565,18.6,23.7,0.786,9.8,33.6,43.4,26.8,7.8,4.6,14.2,17.6,115.4
2,Golden State Warriors,18,104,Phoenix Suns,7,108,-4,41.1,91.6,0.449,15.4,42.7,0.36,25.7,48.8,0.526,16.6,22,0.754,12.7,33.3,46.1,29.3,9.2,5,14.2,19.6,114.1,42.1,87.7,0.48,14.8,38.5,0.384,27.4,49.2,0.556,17.7,21.8,0.81,9.5,34.2,43.7,28.6,7.2,5,14.4,18.5,116.8
3,Orlando Magic,27,116,Houston Rockets,15,86,30,39.4,89,0.443,11.4,36.5,0.313,28,52.5,0.533,18.7,24.3,0.772,11.6,31.8,43.4,23.6,9.1,6.1,14.7,21.3,109,42.5,94.3,0.451,12.5,36.1,0.347,30,58.1,0.516,17.3,23.4,0.741,15,34.1,49.1,23.1,8.5,5.1,14.1,19.4,114.9
4,New York Knicks,5,104,Boston Celtics,2,108,-4,44.5,91.3,0.487,12.8,34.8,0.368,31.7,56.5,0.561,17,21.3,0.801,11.1,32.7,43.7,28.1,8.2,4,13.4,17.3,118.8,43.1,93,0.463,18.5,49.9,0.37,24.6,43.1,0.571,16.1,20.2,0.798,11.5,34.9,46.4,26.9,7.6,5.7,12.2,16.8,120.7
5,Indiana Pacers,8,143,Washington Wizards,30,120,23,43.3,88.3,0.491,13.1,35.3,0.372,30.2,53,0.57,16.7,21.1,0.792,8.9,32.2,41.1,29.2,8.4,5.1,13.4,18.8,116.6,39,88.8,0.439,13,38.6,0.336,26,50.2,0.519,16.2,20.8,0.78,10.6,32.7,43.3,25,7.6,5.2,15.5,19.5,107.2
6,Charlotte Hornets,29,116,Atlanta Hawks,19,110,6,39.3,91.5,0.429,13.5,39.6,0.342,25.8,52,0.496,15.7,20,0.787,12.7,33.4,46.1,25,7.7,4.7,15.7,19.4,107.8,41.7,88.9,0.469,12.9,36.1,0.356,28.9,52.8,0.547,17.4,22.5,0.774,11.5,31.5,43,28.5,9.5,5.1,15.1,18.3,113.7
7,Miami Heat,21,103,Detroit Pistons,13,102,1,41,88.7,0.462,14.1,38.5,0.366,26.9,50.1,0.536,16.5,20.9,0.792,9.7,34.3,44.1,27,8.3,3.9,14.3,16,112.6,42.6,89.1,0.478,12.7,34.9,0.364,29.9,54.2,0.552,17.2,22.1,0.778,11.3,33.6,44.9,26.3,8.1,5.2,15.1,20.6,115.1
8,Toronto Raptors,26,97,Minnesota Timberwolves,10,94,3,41.3,90.1,0.458,11.5,33.3,0.345,29.8,56.9,0.523,16.3,21.7,0.751,12.5,32.7,45.2,28.3,7.8,4.4,15.5,21.4,110.3,41.5,89.1,0.466,15.4,40.7,0.379,26,48.4,0.538,17.5,22.1,0.793,11.1,33.6,44.7,26.6,8.4,4.9,14.8,18.4,115.9
9,Brooklyn Nets,28,113,Cleveland Cavaliers,1,114,-1,38.9,89.1,0.437,13.9,40.6,0.343,25,48.5,0.515,17,21.5,0.79,11.5,31.3,42.8,25.8,8.1,4.6,15.7,21.3,108.7,44.5,90.4,0.492,15.9,41.2,0.384,28.6,49.2,0.582,17.4,22.2,0.785,11,34.2,45.2,28.1,8.1,4.3,13,18.3,122.3
10,Memphis Grizzlies,6,104,New Orleans Pelicans,25,111,-7,43.4,90.2,0.481,13.3,36.2,0.368,30.1,54,0.556,17.9,22.7,0.787,12.6,33,45.6,27.9,8.6,5.6,15.3,20.3,118,41,90.4,0.453,12.2,34.9,0.351,28.8,55.6,0.518,16.8,22.2,0.757,12.3,31.4,43.6,25.9,8.7,5.4,14.6,18.4,111
11,Chicago Bulls,20,104,Oklahoma City Thunder,3,124,-20,41.7,89.2,0.467,15.1,41.1,0.368,26.6,48.1,0.552,15.2,18.9,0.805,9.6,34.4,44,28.1,7.3,4.5,14.1,17.3,113.7,44.5,92.5,0.481,14.5,38.7,0.374,30,53.8,0.558,16.7,20.3,0.821,10.7,34.3,45,26.9,10.4,5.7,11.9,19.9,120.2
12,Utah Jazz,24,114,Sacramento Kings,9,130,-16,40,87.6,0.456,13.7,39,0.353,26.2,48.7,0.539,17.3,22.5,0.771,11.8,33.4,45.2,25.5,6.5,4.4,17.5,18.9,111.1,43.2,90.5,0.477,12.6,35.6,0.354,30.6,54.9,0.557,17.3,21.5,0.806,11,33.4,44.4,26.8,7.7,4.5,13.6,19.1,116.3
